date,ticker,ret_1d,ret_5d,ret_10d,ret_20d,rsi_14,atr_14_pct,volume_ratio_20,dist_ma20,dist_ma50,dist_ma200,rolling_vol_20,label_target_stop,label_median_return,forward_return
1981-09-28,AAPL,0.00877138,-0.195804,-0.243418,-0.285717,7.84259,0.0347827,2.86674,-0.224023,-0.322255,-0.456728,0.0364639,1,1,0.321735
1981-09-29,AAPL,0.0521707,-0.10371,-0.182433,-0.248453,17.5428,0.0365997,2.72991,-0.172371,-0.280793,-0.426909,0.0392723,1,1,0.281005
1981-09-30,AAPL,0.00826397,-0.075766,-0.158623,-0.286553,17.5428,0.0362997,1.41503,-0.151309,-0.268764,-0.420857,0.0356872,1,1,0.311486
1981-10-01,AAPL,0,-0.0687113,-0.134756,-0.298853,18.1806,0.0357143,1.63359,-0.135676,-0.263556,-0.419755,0.0350603,1,1,0.295094
1981-10-02,AAPL,0.0819771,0.157901,-0.0704181,-0.199998,33.3343,0.0362549,1.19174,-0.05376,-0.197955,-0.371067,0.040167,1,1,0.21212
1981-10-05,AAPL,0.030301,0.182613,-0.048948,-0.165644,40.0006,0.036239,1.09968,-0.0155611,-0.16799,-0.350818,0.0411216,1,1,0.176472
1981-10-06,AAPL,-0.00735246,0.11571,0,-0.145571,41.3798,0.0354493,0.720916,-0.0145963,-0.167487,-0.354189,0.0407956,1,1,0.170372
1981-10-07,AAPL,0.0592553,0.172136,0.0833277,-0.0949416,51.6128,0.036463,0.977094,0.0495401,-0.112684,-0.31438,0.0432712,1,1,0.0769308
1981-10-08,AAPL,0.0349628,0.213117,0.129762,-0.069189,54.5452,0.0371616,0.785801,0.090638,-0.0768492,-0.28872,0.0440563,0,1,-0.0337817
1981-10-09,AAPL,0.00675635,0.128779,0.307014,-0.0509633,54.5452,0.0373916,1.31646,0.101253,-0.0650133,-0.281999,0.0440384,0,1,-0.033555
1981-10-12,AAPL,0.0335671,0.132357,0.33914,0.0131689,65.0795,0.0352505,0.660661,0.137378,-0.0280174,-0.255567,0.0441004,0,1,-0.0519561
1981-10-13,AAPL,0,0.140745,0.272741,0.0405502,68.3332,0.0347867,1.03665,0.134863,-0.0225888,-0.253148,0.0436364,1,1,-0.045463
1981-10-14,AAPL,-0.0584491,0.0139851,0.188528,0,60.293,0.0408877,0.716877,0.0685311,-0.073129,-0.294474,0.0454104,1,1,0.0413768
1981-10-15,AAPL,0.0206884,0,0.213117,0.0496422,81.48,0.0337843,0.673276,0.0878317,-0.0467635,-0.277681,0.0451055,1,1,0.0540629
1981-10-16,AAPL,-0.0135127,-0.020133,0.106053,0.0281672,78.1807,0.0342471,0.824596,0.071557,-0.0528116,-0.285174,0.0452463,0,1,-0.00684889
1981-10-19,AAPL,0.0205467,-0.0324769,0.0955819,0.0419554,76.922,0.0321195,0.48095,0.0911716,-0.0266564,-0.268319,0.0454103,0,1,-0.040266
1981-10-20,AAPL,0.0537001,0.0194792,0.162965,0.162965,79.6605,0.0336679,0.846289,0.140579,0.0316776,-0.227111,0.0445593,0,0,-0.0700703
1981-10-21,AAPL,0,0.0827659,0.0979085,0.189395,79.6605,0.0336679,1.72218,0.130315,0.0369926,-0.225395,0.044051,0,1,-0.0382254
1981-10-22,AAPL,-0.00636899,0.0540629,0.0540629,0.19084,73.9992,0.0293045,0.711746,0.113099,0.0353115,-0.228692,0.0440281,0,1,-0.0320606
1981-10-23,AAPL,-0.0256507,0.0410934,0.020133,0.333328,65.9977,0.029137,0.620008,0.0700407,0.0133282,-0.246559,0.031629,0,1,0
1981-10-26,AAPL,0,0.020133,-0.0129977,0.321735,67.3444,0.029137,0.652803,0.0562843,0.0175342,-0.244668,0.0317726,0,1,-0.0460499
1981-10-27,AAPL,0.0197475,-0.012738,0.00649305,0.281005,63.6356,0.0262696,2.07044,0.0645662,0.0406931,-0.228045,0.0306175,0,0,-0.0709744
1981-10-28,AAPL,0.0322558,0.019107,0.103454,0.311486,63.6356,0.0254487,1.07613,0.0847488,0.07614,-0.201454,0.0308804,0,0,-0.0812557
1981-10-29,AAPL,-0.0124992,0.0128196,0.0675756,0.295094,60,0.0253188,0.771498,0.0582754,0.0645506,-0.209621,0.0312837,0,1,-0.0443121
