model,fold,test_year,auc,precision,recall,f1,brier_score
logistic,1,1985,0.5736,1.0,0.012,0.0238,0.2185
xgboost,1,1985,0.6941,0.4556,0.494,0.474,0.2194
lightgbm,1,1985,0.6555,0.4684,0.4458,0.4568,0.2314
logistic,2,1986,0.4167,0.0,0.0,0.0,0.278
xgboost,2,1986,0.5291,0.5146,0.453,0.4818,0.3069
lightgbm,2,1986,0.5031,0.4902,0.4274,0.4566,0.3167
logistic,3,1987,0.4323,0.0,0.0,0.0,0.2541
xgboost,3,1987,0.5592,0.4783,0.4151,0.4444,0.278
lightgbm,3,1987,0.5722,0.5326,0.4623,0.4949,0.2685
logistic,4,1988,0.4105,0.0,0.0,0.0,0.1835
xgboost,4,1988,0.4431,0.125,0.1915,0.1513,0.2455
lightgbm,4,1988,0.4509,0.0909,0.1064,0.098,0.2367
logistic,5,1989,0.5156,0.0,0.0,0.0,0.2201
xgboost,5,1989,0.4285,0.2143,0.0366,0.0625,0.2683
lightgbm,5,1989,0.3316,0.1818,0.0488,0.0769,0.2871
logistic,6,1990,0.6673,0.0,0.0,0.0,0.2189
xgboost,6,1990,0.6328,0.6,0.2386,0.3415,0.2232
lightgbm,6,1990,0.6017,0.5333,0.0909,0.1553,0.2306
logistic,7,1991,0.5819,0.0,0.0,0.0,0.248
xgboost,7,1991,0.563,0.5238,0.3028,0.3837,0.2718
lightgbm,7,1991,0.5722,0.4915,0.2661,0.3452,0.2667
logistic,8,1992,0.5881,0.0,0.0,0.0,0.1976
xgboost,8,1992,0.6439,0.3514,0.3881,0.3688,0.2035
lightgbm,8,1992,0.6729,0.3913,0.403,0.3971,0.1952
logistic,9,1993,0.5152,0.0,0.0,0.0,0.1954
xgboost,9,1993,0.5356,0.2188,0.2188,0.2188,0.2496
lightgbm,9,1993,0.5292,0.1875,0.1875,0.1875,0.2553
logistic,10,1994,0.4732,0.0,0.0,0.0,0.208
xgboost,10,1994,0.4341,0.1,0.0429,0.06,0.2546
lightgbm,10,1994,0.4407,0.1379,0.0571,0.0808,0.2439
logistic,11,1995,0.4725,0.0,0.0,0.0,0.2148
xgboost,11,1995,0.4924,0.2381,0.0667,0.1042,0.2328
lightgbm,11,1995,0.4863,0.1364,0.04,0.0619,0.2339
logistic,12,1996,0.547,0.0,0.0,0.0,0.1805
xgboost,12,1996,0.4308,0.2143,0.1667,0.1875,0.216
lightgbm,12,1996,0.436,0.25,0.1852,0.2128,0.2187
logistic,13,1997,0.4761,0.0,0.0,0.0,0.21
xgboost,13,1997,0.5045,0.2143,0.0822,0.1188,0.2258
lightgbm,13,1997,0.5154,0.2333,0.0959,0.1359,0.228
logistic,14,1998,0.4316,0.0,0.0,0.0,0.2567
xgboost,14,1998,0.5032,0.3051,0.1748,0.2222,0.2813
lightgbm,14,1998,0.4882,0.2593,0.1359,0.1783,0.2842
logistic,15,1999,0.4332,0.0,0.0,0.0,0.2733
xgboost,15,1999,0.6289,0.5556,0.0855,0.1481,0.2663
lightgbm,15,1999,0.637,0.75,0.1282,0.219,0.2606
logistic,16,2000,0.5462,0.0,0.0,0.0,0.1988
xgboost,16,2000,0.4409,0.2,0.2941,0.2381,0.3003
lightgbm,16,2000,0.4422,0.2404,0.3676,0.2907,0.2815
logistic,17,2001,0.5327,0.0,0.0,0.0,0.2234
xgboost,17,2001,0.4286,0.3158,0.1429,0.1967,0.2564
lightgbm,17,2001,0.4443,0.3061,0.1786,0.2256,0.2561
logistic,18,2002,0.3887,0.0,0.0,0.0,0.1839
xgboost,18,2002,0.4307,0.3529,0.1111,0.169,0.198
lightgbm,18,2002,0.4667,0.3684,0.1296,0.1918,0.1931
logistic,19,2003,0.3513,0.0,0.0,0.0,0.2086
xgboost,19,2003,0.2868,0.0952,0.0286,0.044,0.2475
lightgbm,19,2003,0.3091,0.1053,0.0286,0.0449,0.2433
logistic,20,2004,0.4677,0.0,0.0,0.0,0.3052
xgboost,20,2004,0.3544,0.5,0.0068,0.0134,0.3506
lightgbm,20,2004,0.3712,0.0,0.0,0.0,0.354
logistic,21,2005,0.5177,0.0,0.0,0.0,0.2744
xgboost,21,2005,0.5856,0.6111,0.0846,0.1486,0.2791
lightgbm,21,2005,0.5429,0.5,0.0615,0.1096,0.2853
logistic,22,2006,0.5182,0.0,0.0,0.0,0.2164
xgboost,22,2006,0.552,0.2667,0.1026,0.1481,0.2202
lightgbm,22,2006,0.5657,0.3125,0.1282,0.1818,0.2172
logistic,23,2007,0.4606,0.0,0.0,0.0,0.2653
xgboost,23,2007,0.4766,0.4667,0.1167,0.1867,0.2814
lightgbm,23,2007,0.4771,0.4348,0.0833,0.1399,0.2807
logistic,24,2008,0.4648,0.0,0.0,0.0,0.2061
xgboost,24,2008,0.4956,0.3529,0.0857,0.1379,0.2166
lightgbm,24,2008,0.4881,0.3043,0.1,0.1505,0.2177
logistic,25,2009,0.3593,0.0,0.0,0.0,0.2587
xgboost,25,2009,0.5131,0.4857,0.3148,0.382,0.2545
lightgbm,25,2009,0.4904,0.4545,0.3241,0.3784,0.2586
logistic,26,2010,0.5325,0.0,0.0,0.0,0.2179
xgboost,26,2010,0.3121,0.175,0.0886,0.1176,0.2666
lightgbm,26,2010,0.3118,0.2,0.0633,0.0962,0.2601
logistic,27,2011,0.4755,0.0,0.0,0.0,0.18
xgboost,27,2011,0.4317,0.1034,0.0638,0.0789,0.1988
lightgbm,27,2011,0.4543,0.1282,0.1064,0.1163,0.2077
logistic,28,2012,0.729,0.0,0.0,0.0,0.183
xgboost,28,2012,0.5382,0.4118,0.1207,0.1867,0.1908
lightgbm,28,2012,0.5736,0.2857,0.069,0.1111,0.187
logistic,29,2013,0.4617,0.0,0.0,0.0,0.1978
xgboost,29,2013,0.5204,0.3529,0.0952,0.15,0.2027
lightgbm,29,2013,0.5105,0.2979,0.2222,0.2545,0.2148
logistic,30,2014,0.4516,0.0,0.0,0.0,0.1745
xgboost,30,2014,0.5652,0.3333,0.0909,0.1429,0.1619
lightgbm,30,2014,0.5759,0.3,0.1364,0.1875,0.1622
logistic,31,2015,0.4384,0.0,0.0,0.0,0.1528
xgboost,31,2015,0.6387,0.0769,0.0286,0.0417,0.1466
lightgbm,31,2015,0.6424,0.125,0.0286,0.0465,0.1436
logistic,32,2016,0.449,0.0,0.0,0.0,0.1573
xgboost,32,2016,0.5689,0.1429,0.1579,0.15,0.1752
lightgbm,32,2016,0.5718,0.1724,0.2632,0.2083,0.1854
logistic,33,2017,0.4239,0.0,0.0,0.0,0.1693
xgboost,33,2017,0.3264,0.0,0.0,0.0,0.1797
lightgbm,33,2017,0.2866,0.0,0.0,0.0,0.1873
logistic,34,2018,0.4241,0.0,0.0,0.0,0.1434
