entry_date,exit_date,entry_price,exit_price,shares,fees,stop_price,target_price,entry_index,exit_index,exit_reason,pnl,return_pct
2020-01-06,2020-02-04,74.9875,79.6726,133.349,0.933446,0,inf,9849,9869,max_hold,623.832,0.0624794
2020-02-05,2020-02-25,80.4027,71.984,132.127,0.924889,0,inf,9870,9883,strategy_sell,-1113.26,-0.104707
2020-04-13,2020-04-14,68.3467,71.7266,139.145,0.974014,0,inf,9916,9917,strategy_sell,469.33,0.0494532
2020-04-15,2020-05-13,71.1431,76.874,140.272,0.981907,0,inf,9918,9938,max_hold,802.918,0.0805559
2020-05-14,2020-06-12,77.4237,84.6576,139.264,0.974848,0,inf,9939,9959,max_hold,1006.45,0.0934333
2020-06-15,2020-07-14,85.7904,97.009,137.414,0.961897,0,inf,9960,9980,max_hold,1540.63,0.130768
2020-07-15,2020-08-12,97.7739,112.953,136.329,0.954304,0,inf,9981,10001,max_hold,2068.47,0.155253
2020-08-13,2020-09-11,115.068,111.944,133.816,0.936714,0,inf,10002,10022,max_hold,-418.913,-0.027145
2020-09-16,2020-09-17,112.186,110.285,133.519,0.934634,0,inf,10025,10026,strategy_sell,-254.786,-0.0169472
2020-10-07,2020-10-08,115.138,114.913,127.884,0.895187,0,inf,10040,10041,strategy_sell,-29.6724,-0.00195441
2020-10-09,2020-10-30,117.028,108.806,125.564,0.878948,0,inf,10042,10057,strategy_sell,-1033.38,-0.0702642
2020-11-02,2020-11-03,108.824,110.385,125.534,0.878739,0,inf,10058,10059,strategy_sell,195.005,0.0143387
2020-11-09,2020-11-10,116.378,115.912,119.062,0.833434,0,inf,10063,10064,strategy_sell,-56.3334,-0.00400543
2020-11-16,2020-11-25,120.36,115.972,114.655,0.802585,0,inf,10068,10075,strategy_sell,-503.928,-0.0364587
2020-11-27,2020-12-28,116.648,136.622,113.983,0.797884,0,inf,10076,10096,max_hold,2275.83,0.171227
2020-12-29,2021-01-20,134.937,131.964,115.4,0.807801,0,inf,10097,10111,strategy_sell,-343.944,-0.0220357
2021-01-21,2021-02-02,136.938,134.923,111.202,0.778416,0,inf,10112,10120,strategy_sell,-224.953,-0.0147214
2021-02-03,2021-02-19,134.007,129.805,111.956,0.783693,0,inf,10121,10132,strategy_sell,-471.214,-0.0313559
2021-04-05,2021-05-03,125.963,132.474,115.365,0.807553,0,inf,10162,10182,max_hold,750.306,0.051688
2021-05-04,2021-05-06,127.914,129.675,119.471,0.836295,0,inf,10183,10185,strategy_sell,209.577,0.0137687
2021-06-10,2021-06-15,126.173,129.575,122.78,0.859461,0,inf,10209,10212,strategy_sell,416.854,0.0269639
2021-06-16,2021-07-15,130.215,148.406,122.17,0.855191,0,inf,10213,10233,max_hold,2221.5,0.139697
2021-07-16,2021-08-12,146.463,148.816,123.785,0.866492,0,inf,10234,10253,strategy_sell,290.32,0.0160611
2021-08-16,2021-08-20,151.196,148.116,121.83,0.852813,0,inf,10255,10259,strategy_sell,-376.048,-0.0203686
2021-08-25,2021-09-14,148.434,148.046,121.563,0.850944,0,inf,10262,10275,strategy_sell,-48.0475,-0.00261561
2021-09-17,2021-09-21,146.133,143.358,123.149,0.862042,0,inf,10278,10280,strategy_sell,-342.569,-0.0189878
2021-10-19,2021-11-16,148.834,150.924,118.612,0.830285,0,inf,10300,10320,max_hold,247.084,0.0140433
2021-11-17,2021-12-16,153.567,172.174,116.566,0.815962,0,inf,10321,10341,max_hold,2168.14,0.121166
2021-12-17,2022-01-07,171.226,172.084,117.207,0.820447,0,inf,10342,10356,strategy_sell,99.7833,0.00501294
2022-01-13,2022-01-14,172.276,172.983,117.071,0.819499,0,inf,10360,10361,strategy_sell,81.9938,0.00410605
